codigo_do_programa;nome_do_programa;exclusao_logica_do_programa;indicador;exclusao_logica_do_indicador;unidade_de_medida;indice_de_referencia;em_apuracao?_(indice_de_referencia);data_de_apuracao;previsao_para_2022;em_apuracao?_(2022);previsao_para_2023;em_apuracao?_(2023);previsao_para_2024;em_apuracao?_(2024);previsao_para_2025;em_apuracao?_(2025);fonte;periodicidade;base_geografica;formula_de_calculo;justificativa_do_status_em_apuracao_da(s)_previsao(es)_do(s)_indice(s);justificativa_do_status_em_apuracao_do_indice_de_referencia;data_alteracao;indicador_novo?;polaridade
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO DO VOLUME DE RECURSOS EXTERNOS CAPTADOS EM RELAÇÃO AO EXERCÍCIO ANTERIOR;;%;1.00;;31/12/2020;1.05;;1.10;;1.15;;1.20;;RELATÓRIOS DAS UNIDADES DA FAPEMIG RESPONSÁVEIS PELAS PARCERIAS.;Anual;Estadual;COMPARAÇÃO DO TOTAL DE RECURSOS EXTERNOS CAPTADOS NO ANO EM RELAÇÃO AO ANO ANTERIOR.;;;03/11/2021 14:06:00;;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO NÚMERO DE TECNOLOGIAS COM PEDIDOS DE PROTEÇÃO DE PROPRIEDADE INTELECTUAL.;;%;1.00;;31/12/2020;1.01;;1.02;;1.03;;1.04;;RELATÓRIOS DAS UNIDADES RESPONSÁVEIS PELO CONTROLE DE PATENTES;Anual;Estadual;NÚMERO DE TECNOLOGIAS (PATENTES, SOFTWARES, DESENHOS INDUSTRIAIS E CULTIVARES) COM PEDIDO DE PROTEÇÃO JUNTO A AUTORIDADE NACIONAL OU INTERNACIONAL DE PROPRIEDADE INTELECTUAL NO ANO EM RELAÇÃO AO ANO ANTERIOR.;;;03/11/2021 14:06:00;;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO VOLUME DE RECURSOS APLICADOS EM INOVAÇÃO JUNTO ÀS EMPRESAS;;%;1.00;;31/12/2020;1.15;;1.20;;1.25;;1.30;;PLANILHAS DE CONTROLES RETIRADAS DO ARMAZEM SIAFI. INFORMAÇÕES DAS ÁREAS RESPONSÁVEIS;Anual;Estadual;VOLUME DE RECURSOS APLICADOS EM INOVAÇÃO JUNTO ÀS EMPRESAS NO ANO EM COMPARAÇÃO COM O ANO ANTERIOR;;;03/11/2021 14:06:00;;MAIOR
1;PESQUISA CIENTÍFICA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO;False;AUMENTO NO NÚMERO DE PUBLICAÇÕES DE ARTIGOS EM REVISTA INDEXADA;;%;1.00;;31/12/2020;1.03;;1.06;;1.10;;1.13;;RELATÓRIO DE ATIVIDADES FAPEMIG;Anual;Estadual;NÚMERO DE PUBLICAÇÕES EM REVISTA INDEXADA NO ANO EM RELAÇÃO AO ANO ANTERIOR;;;03/11/2021 14:06:00;;MAIOR
2;ASSISTÊNCIA À SAÚDE DOS SEGURADOS E DOS SEUS DEPENDENTES;False;TAXA DE GASTO PER CAPITA DE SAÚDE;;R$;2211.36;;30/08/2020;3024.11;;3292.35;;3585.87;;3905.39;;DRAT / IPSM;Bimestral;Regional;TOTAL DO PROCESSAMENTO DAS DESPESAS COM PRESTAÇÃO DE ASSISTÊNCIA A SAÚDE ($) / PÚBLICO ALVO TOTAL DE BENEFICIÁRIOS;;;03/11/2021 14:06:00;;MAIOR
2;ASSISTÊNCIA À SAÚDE DOS SEGURADOS E DOS SEUS DEPENDENTES;False;REPRESENTATIVIDADE DA REDE ORGÂNICA NOS GASTOS COM A SAÚDE;;%;6.36;;31/12/2018;6.75;;6.80;;6.85;;6.90;;IPSM;Bimestral;Estadual;TXREPR = VALOR TOTAL PROCESSADO PARA A REDE ORGÂNICA / VALOR TOTAL DO PROCESSAMENTO DAS DESPESAS COM PRESTAÇÃO DE ASSISTÊNCIA À SAÚDE X 100;;;03/11/2021 14:06:00;;MAIOR
3;PRESTAÇÃO DE SERVIÇOS PREVIDENCIÁRIOS;False;TAXA DE COBERTURA PREVIDENCIÁRIA;;%;22.85;;31/12/2020;22.85;;22.90;;22.95;;23.00;;IPSM;Bimestral;Estadual;(TOTAL DE AUXÍLIOS E PENSÕES CONCEDIDOS)/TOTAL DE SEGURADOS (MILITARES ATIVOS E INATIVOS);;;03/11/2021 14:06:00;;MAIOR
9;DESENVOLVIMENTO DE AÇÕES DE EDUCAÇÃO E PESQUISA PARA O SISTEMA ÚNICO DE SAÚDE;False;ÍNDICE DE SATISFAÇÃO DOS ALUNOS;;%;98.73;;31/12/2020;97.00;;97.00;;97.00;;97.00;;RELATÓRIO EMITIDO PELAS UNIDADES ADMINISTRATIVAS CONTENDO O COMPILADO DAS AVALIAÇÕES DE SATISFAÇÃO PREENCHIDAS PELOS ALUNOS;Anual;Estadual;(N° DE ALUNOS QUE AVALIARAM O CURSO COMO BOM E ÓTIMO / N° DE ALUNOS QUE RESPONDERAM A AVALIAÇÃO) X100;;;03/11/2021 14:06:00;;MAIOR
9;DESENVOLVIMENTO DE AÇÕES DE EDUCAÇÃO E PESQUISA PARA O SISTEMA ÚNICO DE SAÚDE;False;PERCENTUAL DE ABRANGÊNCIA DAS AÇÕES DE ENSINO E PESQUISA DA ESP-MG;;%;92.26;;31/12/2020;60.00;;60.00;;60.00;;60.00;;RELATÓRIO EMITIDO PELAS UNIDADES ADMINISTRATIVAS CONTENDO A REGIONALIZAÇÃO DAS AÇÕES DE ENSINO E PESQUISA;Anual;Estadual;FÓRMULA= Nº DE MUNICÍPIOS CONTEMPLADOS/Nº TOTAL DE MUNICÍOS DE MGF = &#8721, M / TLEGENDA: F= FÓRMULA &#8721,= SOMATÓRIA M= Nº DE MUNICÍPIOS CONTEMPLADOS EM AÇÕES EDUCACIONAIS E PESQUISAT = Nº TOTAL DE MUNICÍOS DE MG;;;03/11/2021 14:06:00;;MAIOR
10;PLANO DE ATENÇÃO À SAÚDE;False;ÍNDICE DE COBERTURA EM CONSULTA MÉDICA;;Consulta realizada;1.40;;31/12/2020;1.90;;2.00;;2.00;;2.00;;SISTEMA DE CADASTRO ÚNICO (CADU) E SISTEMA DE AUTORIZAÇÃO E FATURAMENTO ELETRÔNICO (SAFE) DO IPSEMG;Anual;Estadual;TOTAL DE CONSULTAS MÉDICAS (ELETIVAS, DE ATENÇÃO PRIMÁRIA, DE URGÊNCIA E DE PRONTO SOCORRO) REALIZADAS / TOTAL DE BENEFICIÁRIOS ATIVOS NO SISTEMA DE CADASTRO ÚNICO (CADU) DO IPSEMG;;;03/11/2021 14:06:00;;MAIOR
